Beam angle,Couch angle,Collimator
350.0,0.0,0.0
337.0,63.0,0.0
10.0,270.0,0.0
340.0,0.0,0.0
303.0,24.0,0.0
242.00000000000003,337.0,0.0
315.0,45.0,0.0
328.0,71.0,0.0
169.0,63.0,0.0
288.0,32.0,0.0
162.0,34.00000000000006,0.0
37.0,304.0,0.0
160.0,0.0,0.0
278.0,30.0,0.0
162.0,326.0,0.0
Name,Minimise,Objective,Sufficient,Weight,Priority,IsConstraint
Isocentre,1.0,80.0,,1.0,0.0,True
PTV,1.0,75.0,,1.0,0.0,True
Stomach,1.0,21.0,,1.0,0.0,True
Spinal Cord,1.0,18.0,,1.0,0.0,True
Heart,1.0,30.0,,1.0,0.0,True
Oesophagus,1.0,21.0,,1.0,0.0,True
Duodenum,1.0,21.0,,1.0,0.0,True
Pancreas,1.0,21.0,,1.0,0.0,True
External Ring,1.0,21.0,,1.0,0.0,True
Liver minus CTV,1.0,0.5273848689770406,,1.0,0.0,True
Kidney (R),1.0,0.35,,1.0,0.0,True
Kidney (L),1.0,0.35,,1.0,0.0,True
PTV40%,0.0,0.0,,1.0,0.0,True
PTV80%,0.0,0.0,,1.0,0.0,True
PTV,0.0,0.0,,1.0,0.0,True
PTV,1.0,0.0,,1.0,0.0,True
Ring 1,1.0,0.0,,1.0,0.0,True
Patient,1.0,75.0,,1.0,0.0,True
Isocentre,0.0,75.0,75.0,0.016814783561264122,1.0,0.0
Liver minus CTV,1.0,5.0,,0.09311831789626518,2.0,0.0
Oesophagus,1.0,19.0,,0.8810303725277842,3.0,0.0
Duodenum,1.0,19.0,,0.0015103661064487213,4.0,0.0
Stomach,1.0,19.0,,0.004323483296695849,5.0,0.0
Pancreas,1.0,19.0,,0.00021057813950989856,6.0,0.0
Heart,1.0,27.0,,4.930733674309169e-05,7.0,0.0
Spinal Cord,1.0,17.0,,0.00010587557422574142,8.0,0.0
Oesophagus,1.0,5.0,,0.0006553185036895444,9.0,0.0
Duodenum,1.0,5.0,,5.614919838632655e-06,10.0,0.0
Stomach,1.0,5.0,,3.271497147150732e-05,11.0,0.0
Heart,1.0,5.0,,6.73615980795221e-06,12.0,0.0
Spinal Cord,1.0,5.0,,0.00023957600137087848,13.0,0.0
Pancreas,1.0,5.0,,0.0005922934437253183,14.0,0.0
Kidney (R),1.0,5.0,,0.0003102680745023406,15.0,0.0
Kidney (L),1.0,5.0,,6.293729260503669e-05,16.0,0.0
Patient,1.0,100.0,,0.0009314561940524693,17.0,0.0
Smoothing Linear,0.0,-750.0,,1.0,0.0,1.0
Smoothing Linear,1.0,750.0,,1.0,0.0,1.0
Sm2 beam 1,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 2,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 3,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 4,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 5,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 6,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 7,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 8,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 9,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 10,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 11,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 12,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 13,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 14,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 15,1.0,3375.0,,1.0,0.0,1.0
