Name,Minimise,Objective,Sufficient,Weight,Priority,IsConstraint
Urethra,1.0,0.01,,1.0,0.0,True
Rectum Partial,1.0,38.0,,1.0,0.0,True
Bladder Partial,1.0,38.0,,1.0,0.0,True
Rectum Partial,1.0,0.08345877109200892,,1.0,0.0,True
Bladder Partial,1.0,0.05074777979431337,,1.0,0.0,True
Prostate,0.0,0.95,0.95,0.9121029374827007,1.0,0.0
Urethra,1.0,0.0,,0.01878352380909251,2.0,0.0
Rectum Partial,1.0,0.0,,0.03455676935410337,3.0,0.0
Bladder Partial,1.0,0.0,,0.03455676935410337,3.0,0.0
Bladder,1.0,0.0,,1.0,4.0,False
Rectum,1.0,0.0,,1.0,4.0,False
Unspecified Tissue,1.0,0.0,,1.0,5.0,False
