Beam angle,Couch angle,Collimator
66.2,339.1,4.100000000000023
58.3,0.0,89.10000000000002
281.9,20.900000000000034,8.099999999999966
78.1,339.1,8.099999999999966
298.2,10.800000000000011,41.299999999999955
90.0,0.0,25.69999999999999
298.2,349.2,55.89999999999998
293.5,43.30000000000001,13.399999999999977
281.59999999999997,0.0,69.30000000000001
258.40000000000003,0.0,17.19999999999999
309.6,7.599999999999966,37.80000000000001
54.6,19.30000000000001,24.69999999999999
95.9,328.8,113.0
20.9,0.0,0.0
43.1,17.19999999999999,4.199999999999989
264.1000000000001,31.19999999999999,29.100000000000023
21.7,90.0,0.0
43.1,342.8,8.499999999999943
288.0,349.90000000000003,41.299999999999955
347.9,29.5,69.0
316.9,342.8,16.899999999999977
293.8,20.900000000000034,87.90000000000003
12.1,330.5,88.79999999999995
309.6,352.40000000000003,17.19999999999999
20.6,61.69999999999999,24.400000000000034
Name,Minimise,Objective,Sufficient,Weight,Priority,IsConstraint
PTV 3 mm,1.0,65.0,,1.0,0.0,True
PZ,1.0,69.16,,1.0,0.0,True
Rectum,1.0,38.0,,1.0,0.0,True
Urethra,1.0,40.0,,1.0,0.0,True
Bladder,1.0,41.8,,1.0,0.0,True
PTV Ring 20 mm - 30 mm,1.0,20.0,25.0,1.0,0.0,True
Penis/Scrotum,1.0,4.0,,1.0,0.0,True
External Ring 20 mm,1.0,15.0,,1.0,0.0,True
Penis/Scrotum,1.0,2.0,,1.0,0.0,True
PTV 7 mm,1.0,45.7,,1.0,0.0,True
PTV 3 mm,1.0,0.03,0.03,0.8683927642433655,1.0,0.0
PTV 3 mm,1.0,3.1,3.1,0.022328898658538723,2.0,0.0
Rectum,1.0,0.0,,0.09580233699696926,3.0,0.0
PZ,1.0,1.0,,0.0011422841703036433,4.0,0.0
Urethra,1.0,0.0,,0.005380600495426795,5.0,0.0
Bladder,1.0,0.0,,0.003951723919978048,6.0,0.0
From 30 mm to External -20 mm,1.0,15.0,,0.0009837217779457021,7.0,0.0
Rectum,1.0,30.0,,0.000358051567310513,8.0,0.0
Bladder,1.0,35.0,,0.0009454751557428293,9.0,0.0
Penis/Scrotum,1.0,0.0,,0.000679186687621224,10.0,0.0
Femoral Head (R),1.0,24.0,,8.835686003241587e-11,11.0,0.0
Femoral Head (L),1.0,24.0,,3.495623844104415e-05,12.0,0.0
Smoothing Linear,1.0,760.0,,1.0,0.0,True
Smoothing Linear,0.0,-760.0,,1.0,0.0,True
Sm2 beam 1,1.0,3465.6,,1.0,0.0,True
Sm2 beam 2,1.0,3465.6,,1.0,0.0,True
Sm2 beam 3,1.0,3465.6,,1.0,0.0,True
Sm2 beam 4,1.0,3465.6,,1.0,0.0,True
Sm2 beam 5,1.0,3465.6,,1.0,0.0,True
Sm2 beam 6,1.0,3465.6,,1.0,0.0,True
Sm2 beam 7,1.0,3465.6,,1.0,0.0,True
Sm2 beam 8,1.0,3465.6,,1.0,0.0,True
Sm2 beam 9,1.0,3465.6,,1.0,0.0,True
Sm2 beam 10,1.0,3465.6,,1.0,0.0,True
Sm2 beam 11,1.0,3465.6,,1.0,0.0,True
Sm2 beam 12,1.0,3465.6,,1.0,0.0,True
Sm2 beam 13,1.0,3465.6,,1.0,0.0,True
Sm2 beam 14,1.0,3465.6,,1.0,0.0,True
Sm2 beam 15,1.0,3465.6,,1.0,0.0,True
Sm2 beam 16,1.0,3465.6,,1.0,0.0,True
Sm2 beam 17,1.0,3465.6,,1.0,0.0,True
Sm2 beam 18,1.0,3465.6,,1.0,0.0,True
Sm2 beam 19,1.0,3465.6,,1.0,0.0,True
Sm2 beam 20,1.0,3465.6,,1.0,0.0,True
Sm2 beam 21,1.0,3465.6,,1.0,0.0,True
Sm2 beam 22,1.0,3465.6,,1.0,0.0,True
Sm2 beam 23,1.0,3465.6,,1.0,0.0,True
Sm2 beam 24,1.0,3465.6,,1.0,0.0,True
Sm2 beam 25,1.0,3465.6,,1.0,0.0,True
