Beam angle,Couch angle,Collimator
60.0,0.0,0.0
180.0,0.0,0.0
300.0,0.0,0.0
Name,Minimise,Objective,Sufficient,Weight,Priority,IsConstraint
CTV High,0.0,64.67999999999999,,1.0,0.0,True
CTV Intermediate 10 mm,0.0,52.92,,1.0,0.0,True
CTV Low Shrunk 10 mm,0.0,52.92,,1.0,0.0,True
Parotid (L),1.0,69.96000000000001,,1.0,0.0,True
Parotid (R),1.0,69.96000000000001,,1.0,0.0,True
SMG (L),1.0,69.96000000000001,,1.0,0.0,True
SMG (R),1.0,69.96000000000001,,1.0,0.0,True
SCM,1.0,69.96000000000001,,1.0,0.0,True
MCM,1.0,69.96000000000001,,1.0,0.0,True
MCI,1.0,69.96000000000001,,1.0,0.0,True
MCP,1.0,69.96000000000001,,1.0,0.0,True
Oesophagus,1.0,69.96000000000001,,1.0,0.0,True
Larynx,1.0,69.96000000000001,,1.0,0.0,True
Oral Cavity,1.0,69.96000000000001,,1.0,0.0,True
CTV Intermediate 10 mm,1.0,100.0,,1.0,0.0,True
Patient,1.0,69.96000000000001,,1.0,0.0,True
CTV High,1.0,69.96000000000001,69.96000000000001,0.10737384225146415,1.0,0.0
CTV Intermediate 10 mm,1.0,69.96000000000001,69.96000000000001,0.004122929662314207,1.0,0.0
CTV Low Shrunk 10 mm,1.0,57.24,57.24,0.2972364144624749,1.0,0.0
CTV High Ring 0-10 mm Outside,1.0,69.96000000000001,69.96000000000001,0.02638077521146823,2.0,0.0
CTV Combined Ring 0-10 mm,1.0,57.24,57.24,0.03963918061586739,2.0,0.0
CTV Combined Ring 10-15 mm,1.0,48.6,48.6,0.004412952677403183,2.0,0.0
Parotid (L),1.0,1.0,1.0,0.09045777627628457,3.0,0.0
Parotid (R),1.0,1.0,1.0,0.06222066587419007,3.0,0.0
SMG (L),1.0,1.0,1.0,0.07022169100040426,4.0,0.0
SMG (R),1.0,1.0,1.0,0.005770139393035032,4.0,0.0
Spinal Cord,1.0,20.0,20.0,0.003000141732200121,5.0,0.0
Brainstem,1.0,20.0,20.0,0.0017271031330492897,5.0,0.0
SCM,1.0,1.0,1.0,0.01025027212053564,6.0,0.0
MCM,1.0,1.0,1.0,0.01342069735158779,6.0,0.0
MCI,1.0,1.0,1.0,0.05349857263624468,6.0,0.0
MCP,1.0,1.0,1.0,0.06131598554791639,6.0,0.0
Oesophagus,1.0,1.0,1.0,0.05051868957302271,6.0,0.0
Larynx,1.0,1.0,1.0,0.05746697800038242,7.0,0.0
Oral Cavity,1.0,1.0,1.0,0.022525360690083148,8.0,0.0
CTV High Ring 0-10 mm Outside,1.0,1.0,1.0,0.0020660354892975187,9.0,0.0
CTV Combined Ring 0-10 mm,1.0,1.0,1.0,0.0023176538523260173,9.0,0.0
CTV Combined Ring 10-15 mm,1.0,1.0,1.0,8.936238689002872e-08,9.0,0.0
CTV Combined Ring 15-25 mm,1.0,1.0,1.0,0.006376333954210964,9.0,0.0
CTV Combined Ring 15-25 mm,1.0,1.0,1.0,1.824131834316818e-05,9.0,0.0
CTV Combined Ring 25-35 mm,1.0,1.0,1.0,0.005716517286666517,9.0,0.0
CTV Combined Ring 25-35 mm,1.0,1.0,1.0,0.001943791873272165,9.0,0.0
MU,1.0,1.0,,1.168653568476639e-06,10.0,0.0
